"","lake","core_depth_id","age_bp","age_ce","high_profile","low_profile","motile","euplanktonic","algivore","detritivore","plantivore","predator"
"1","Azul","AZ11_02_144_8",668.5,1281.5,0.036231884057971,0.306763285024155,0.642512077294686,0.0144927536231884,0.764705882352941,0,0,0.235294117647059
"2","Azul","AZ11_02_143_8",667.5,1282.5,0.0833333333333333,0.426470588235294,0.475490196078431,0.0147058823529412,0,0,0,1
"3","Azul","AZ11_02_142_8",666.6,1283.4,0.0536585365853659,0.509756097560976,0.41219512195122,0.024390243902439,0.666666666666667,0,0,0.333333333333333
"4","Azul","AZ11_02_141_8",665.7,1284.3,0.0829268292682927,0.4,0.502439024390244,0.0146341463414634,0.666666666666667,0,0,0.333333333333333
"5","Azul","AZ11_02_140_8",664.8,1285.2,0.108641975308642,0.469135802469136,0.419753086419753,0.00246913580246914,0.875,0,0,0.125
"6","Azul","AZ11_02_139_8",663.9,1286.1,0.0802919708029197,0.374695863746959,0.530413625304136,0.0145985401459854,1,0,0,0
"7","Azul","AZ11_02_138_8",663,1287,0.0717821782178218,0.403465346534653,0.514851485148515,0.0099009900990099,0.611111111111111,0,0,0.388888888888889
"8","Azul","AZ11_02_136_8",661.2,1288.8,0.162227602905569,0.49636803874092,0.338983050847458,0.00242130750605327,1,0,0,0
"9","Azul","AZ11_02_135_8",660.3,1289.7,0.0752427184466019,0.322815533980583,0.587378640776699,0.0145631067961165,1,0,0,0
"10","Azul","AZ11_02_134_8",659.4,1290.6,0.231143552311436,0.265206812652068,0.476885644768856,0.0267639902676399,1,0,0,0
"11","Azul","AZ11_02_133_8",658.4,1291.6,0.072289156626506,0.296385542168675,0.616867469879518,0.0144578313253012,0.5,0.25,0,0.25
"12","Azul","AZ11_02_132_8",657.5,1292.5,0.0393120393120393,0.275184275184275,0.663390663390663,0.0221130221130221,0.88235294117647,0.0588235294117647,0,0.0588235294117647
"13","Azul","AZ11_02_131_8",656.6,1293.4,0.0674698795180723,0.272289156626506,0.64578313253012,0.0144578313253012,0.769230769230769,0,0.102564102564103,0.128205128205128
"14","Azul","AZ11_02_130_8",655.7,1294.3,0.00975609756097561,0.182926829268293,0.795121951219512,0.0121951219512195,0.8,0.075,0.025,0.1
"15","Azul","AZ11_02_129_8",654.8,1295.2,0.0650602409638554,0.248192771084337,0.674698795180723,0.0120481927710843,0.714285714285714,0.0714285714285714,0.214285714285714,0
"16","Azul","AZ11_02_128_8",653.9,1296.1,0.04739336492891,0.369668246445498,0.561611374407583,0.0213270142180095,0.935483870967742,0,0.032258064516129,0.032258064516129
"17","Azul","AZ11_02_127_8",653,1297,0.0623501199040767,0.227817745803357,0.697841726618705,0.0119904076738609,0.333333333333333,0.666666666666667,0,0
"18","Azul","AZ11_02_126_8",652.1,1297.9,0.00455580865603645,0.0501138952164009,0.943052391799544,0.00227790432801822,0.903225806451613,0,0.0967741935483871,0
"19","Azul","AZ11_02_125_8",651.2,1298.8,0.0598086124401914,0.208133971291866,0.720095693779904,0.0119617224880383,0.88,0.04,0.04,0.04
"20","Azul","AZ11_02_124_8",650.3,1299.7,0.0641330166270784,0.173396674584323,0.752969121140142,0.00950118764845606,0.814814814814815,0.037037037037037,0.037037037037037,0.111111111111111
"21","Azul","AZ11_02_123_8",649.3,1300.7,0.0574162679425837,0.191387559808612,0.739234449760766,0.0119617224880383,0.821428571428571,0.0714285714285714,0,0.107142857142857
"22","Azul","AZ11_02_122_8",648.43,1301.57,0.0458937198067633,0.0869565217391304,0.85024154589372,0.0169082125603865,0.75,0.05,0,0.2
"23","Azul","AZ11_02_121_8",638.73,1311.27,0.0238095238095238,0.121428571428571,0.85,0.00476190476190476,0.72,0.04,0.04,0.2
"24","Azul","AZ11_02_120_8",629.01,1320.99,0.069047619047619,0.15,0.773809523809524,0.00714285714285714,0.892857142857143,0,0.0357142857142857,0.0714285714285714
