series,run_id,start_ce,end_ce,n_points,mean_abs_deriv,peak_abs_deriv,peak_ce,direction,period_id
Producers,1,1749.2060606060609,1863.5206060606065,4,0.004308268206626799,0.005887415795479952,1825.415757575758,increase,1
Producers,3,1939.7303030303033,2015.94,3,0.008837963769724053,0.012578653064134741,2015.94,increase,2
Consumers,1,1822.3791919191917,2012.81,6,0.005228496681226188,0.00754225525592183,1936.6376767676766,increase,1
Vegetation,1,1487.5627272727274,1624.8242424242426,8,0.003898926733536277,0.004693174672902882,1546.389090909091,increase,1
