lake,first_onset_after_min_ce_Producers,first_onset_after_min_ce_Consumers,total_dca_change_Producers,total_dca_change_Consumers,onset_min_ce,onset_diff_ce,magnitude_diff,onset_leader
Azul,1486.1262626262626,1740.118383838384,1.878576902745744,1.3433481269523142,800,-253.99212121212145,0.5352287757934298,Producers earlier
Caldeirao,1139.0788888888892,1152.086666666667,1.6292646022729917,1.357747723373917,800,-13.007777777777846,0.2715168788990747,Similar timing
Caveiro,1634.151515151515,1409.121212121212,1.6268619853811466,1.6315752337919422,800,225.030303030303,-0.0047132484107956785,Consumers earlier
Empadadas Norte,1436.1152684848482,1778.635104828283,1.722556722594922,1.7327590504225028,800,-342.5198363434347,-0.010202327827580682,Producers earlier
Funda,1230.2549494949494,1443.3741414141414,2.1884357369113685,2.588696861703914,800,-213.11919191919196,-0.4002611247925456,Producers earlier
Ginjal,1426,1545.979797979798,2.2252536199899353,1.617572976050617,800,-119.97979797979792,0.6076806439393183,Producers earlier
Peixinho,998.2993939393941,1545.9927272727273,2.2457639519019503,0.5122427258927388,800,-547.6933333333332,1.7335212260092114,Producers earlier
Prata,1138.979797979798,1316.5959595959596,3.702467351123814,1.7234929112782933,800,-177.61616161616166,1.9789744398455207,Producers earlier
Santiago,1951.5959595959596,1851.4747474747476,1.3963429534532608,1.4852962805115504,800,100.12121212121201,-0.08895332705828962,Consumers earlier
