island,lake,long,lat,alt,area,zmax,pos,#
Sao Miguel,Azul,-25.769272656467134,37.87281056075737,260,3.59,25.35,7,5
Corvo,Caldeirão, -31.111589266053937,39.71019055194054,410,0.32,2,1,1
Pico,Caveiro, -28.19689762109945,38.440423938284745,903,3.5,3.5,3,3
Sao Miguel,Emp. Norte, -25.746826237706866,37.824630978378416,740,0.02,3.30,6,6
Flores,Funda, -31.226277464722525,39.44305288013108,360,0.3547 ,31.90,2,2
Terceira,Ginjal, -27.161034306502533,38.698864887499376,390,,0.7,5,
Pico,Peixinho, -28.17346362104799,38.43512946921299,870,0.01,7.80,4,4
Sao Miguel,Prata, -25.73677931941954,37.807172041271976,,,,,
Sao Miguel,Santiago, -25.773233263012184,37.84966366838769,360,0.2535,28.75,,7
