sitename,depth,age,taxa,value,elementtype,ecologicalgroup,group,ID
Azul,36.89257924,-9.76,Alnus,1,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Amaranthaceae,1,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Anthoceros laevis,2,spore,UPBR,Hornwort,Azul_-9.76
Azul,36.89257924,-9.76,Anthoceros punctatus,21,spore,UPBR,Hornwort,Azul_-9.76
Azul,36.89257924,-9.76,Apiaceae,2,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Asteraceae,7,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Calluna vulgaris,11,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Cryptomeria,57,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Culcita macrocarpa,20,spore,UPBR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Dryopteris,7,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Ericaceae,34,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Galium,1,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Huperzia,5,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Hypericum foliosum,4,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Myrica faya,44,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Myriophyllum,31,pollen,AQVP,Aquatic,Azul_-9.76
Azul,36.89257924,-9.76,Myrsine africana,41,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Pinus pinaster,24,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Plantaginaceae,2,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Plantago,10,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Poaceae,67,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Polypodium,1,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Potentilla,3,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Pteridium aquilinum,34,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Pteris incompleta,20,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Rubus,4,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Rumex,5,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Selaginella kraussiana,17,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Vaccinium,3,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Zea mays,2,pollen,UPHE,Herb,Azul_-9.76
Azul,38.74205042,-1.35,Alnus,4,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Anthoceros punctatus,4,spore,UPBR,Hornwort,Azul_-1.35
Azul,38.74205042,-1.35,Asteraceae,2,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Betula,2,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Calluna vulgaris,3,pollen,TRSH,Shrub,Azul_-1.35
Azul,38.74205042,-1.35,Cryptomeria,67,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Culcita macrocarpa,3,spore,UPBR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Cyperaceae,10,pollen,UPHE,Aquatic,Azul_-1.35
Azul,38.74205042,-1.35,Dryopteris,1,spore,VACR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Echium,1,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Ericaceae,11,pollen,TRSH,Shrub,Azul_-1.35
Azul,38.74205042,-1.35,Galium,1,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Huperzia,2,spore,VACR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Hydrangea macrophylla,2,pollen,TRSH,Shrub,Azul_-1.35
Azul,38.74205042,-1.35,Hypericum foliosum,2,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Myrica faya,56,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Myriophyllum,5,pollen,AQVP,Aquatic,Azul_-1.35
Azul,38.74205042,-1.35,Myrsine africana,7,pollen,TRSH,Shrub,Azul_-1.35
Azul,38.74205042,-1.35,Olea europaea,1,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Pinus pinaster,4,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Plantago,12,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Poaceae,56,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Pteridium aquilinum,6,spore,VACR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Pteris incompleta,7,spore,VACR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Rumex,5,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Selaginella kraussiana,5,spore,VACR,Fern,Azul_-1.35
Azul,38.74205042,-1.35,Viburnum treleasei,1,pollen,TRSH,Tree,Azul_-1.35
Azul,39.53468093,2.68,Alnus,7,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Amaranthaceae,1,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Anthoceros punctatus,13,spore,UPBR,Hornwort,Azul_2.68
Azul,39.53468093,2.68,Apiaceae,5,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Asteraceae,11,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Betula,1,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Calluna vulgaris,6,pollen,TRSH,Shrub,Azul_2.68
Azul,39.53468093,2.68,Cryptomeria,203,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Culcita macrocarpa,8,spore,UPBR,Fern,Azul_2.68
Azul,39.53468093,2.68,Cyperaceae,6,pollen,UPHE,Aquatic,Azul_2.68
Azul,39.53468093,2.68,Dryopteris,1,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Ericaceae,12,pollen,TRSH,Shrub,Azul_2.68
Azul,39.53468093,2.68,Galium,1,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Hemionitis,1,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Huperzia,3,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Hydrangea macrophylla,8,pollen,TRSH,Shrub,Azul_2.68
Azul,39.53468093,2.68,Myrica faya,143,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Myriophyllum,36,pollen,AQVP,Aquatic,Azul_2.68
Azul,39.53468093,2.68,Myrsine africana,23,pollen,TRSH,Shrub,Azul_2.68
Azul,39.53468093,2.68,Pinus pinaster,11,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Plantaginaceae,12,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Plantago,16,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Poaceae,123,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Potamogeton,1,pollen,AQVP,Aquatic,Azul_2.68
Azul,39.53468093,2.68,Pteridium aquilinum,30,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Pteris incompleta,4,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Rumex,3,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Sedum,2,pollen,UPHE,Herb,Azul_2.68
Azul,39.53468093,2.68,Selaginella kraussiana,9,spore,VACR,Fern,Azul_2.68
Azul,39.53468093,2.68,Viburnum treleasei,1,pollen,TRSH,Tree,Azul_2.68
Azul,39.53468093,2.68,Zea mays,3,pollen,UPHE,Herb,Azul_2.68
Azul,40.5915216,8.22,Alnus,4,pollen,TRSH,Tree,Azul_8.22
Azul,40.5915216,8.22,Anthoceros punctatus,1,spore,UPBR,Hornwort,Azul_8.22
Azul,40.5915216,8.22,Apiaceae,2,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Asteraceae,4,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Betula,2,pollen,TRSH,Tree,Azul_8.22
Azul,40.5915216,8.22,Calluna vulgaris,3,pollen,TRSH,Shrub,Azul_8.22
Azul,40.5915216,8.22,Cryptomeria,165,pollen,TRSH,Tree,Azul_8.22
Azul,40.5915216,8.22,Culcita macrocarpa,2,spore,UPBR,Fern,Azul_8.22
Azul,40.5915216,8.22,Cyperaceae,9,pollen,UPHE,Aquatic,Azul_8.22
Azul,40.5915216,8.22,Ericaceae,9,pollen,TRSH,Shrub,Azul_8.22
Azul,40.5915216,8.22,Galium,1,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Huperzia,1,spore,VACR,Fern,Azul_8.22
Azul,40.5915216,8.22,Hydrangea macrophylla,5,pollen,TRSH,Shrub,Azul_8.22
Azul,40.5915216,8.22,Hymenophyllum,2,spore,VACR,Fern,Azul_8.22
Azul,40.5915216,8.22,Myrica faya,56,pollen,TRSH,Tree,Azul_8.22
Azul,40.5915216,8.22,Myriophyllum,12,pollen,AQVP,Aquatic,Azul_8.22
Azul,40.5915216,8.22,Myrsine africana,11,pollen,TRSH,Shrub,Azul_8.22
Azul,40.5915216,8.22,Pinus pinaster,8,pollen,TRSH,Tree,Azul_8.22
Azul,40.5915216,8.22,Plantago,17,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Poaceae,115,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Pteridium aquilinum,14,spore,VACR,Fern,Azul_8.22
Azul,40.5915216,8.22,Pteris incompleta,8,spore,VACR,Fern,Azul_8.22
Azul,40.5915216,8.22,Rumex,9,pollen,UPHE,Herb,Azul_8.22
Azul,40.5915216,8.22,Selaginella kraussiana,6,spore,VACR,Fern,Azul_8.22
Azul,40.5915216,8.22,Viburnum treleasei,1,pollen,TRSH,Tree,Azul_8.22
Azul,41.64836228,13.87,Alnus,7,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Amaranthaceae,2,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Anthoceros punctatus,4,spore,UPBR,Hornwort,Azul_13.87
Azul,41.64836228,13.87,Apiaceae,1,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Asteraceae,4,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Athyrium filix-femina,2,spore,UPBR,Fern,Azul_13.87
Azul,41.64836228,13.87,Calluna vulgaris,7,pollen,TRSH,Shrub,Azul_13.87
Azul,41.64836228,13.87,Castanea,1,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Cryptomeria,71,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Culcita macrocarpa,5,spore,UPBR,Fern,Azul_13.87
Azul,41.64836228,13.87,Cyperaceae,4,pollen,UPHE,Aquatic,Azul_13.87
Azul,41.64836228,13.87,Dryopteris,1,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Ericaceae,9,pollen,TRSH,Shrub,Azul_13.87
Azul,41.64836228,13.87,Hemionitis,1,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Huperzia,2,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Hydrangea macrophylla,3,pollen,TRSH,Shrub,Azul_13.87
Azul,41.64836228,13.87,Myrica faya,61,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Myriophyllum,34,pollen,AQVP,Aquatic,Azul_13.87
Azul,41.64836228,13.87,Myrsine africana,13,pollen,TRSH,Shrub,Azul_13.87
Azul,41.64836228,13.87,Olea europaea,3,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Pinus pinaster,32,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Plantago,19,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Poaceae,69,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Potamogeton,1,pollen,AQVP,Aquatic,Azul_13.87
Azul,41.64836228,13.87,Potentilla,1,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Pteridium aquilinum,48,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Pteris incompleta,7,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Quercus ilex,1,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Rumex,6,pollen,UPHE,Herb,Azul_13.87
Azul,41.64836228,13.87,Selaginella kraussiana,4,spore,VACR,Fern,Azul_13.87
Azul,41.64836228,13.87,Vaccinium,3,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Viburnum treleasei,1,pollen,TRSH,Tree,Azul_13.87
Azul,41.64836228,13.87,Zea mays,3,pollen,UPHE,Herb,Azul_13.87
Azul,42.70520295,19.53,Alnus,9,pollen,TRSH,Tree,Azul_19.53
Azul,42.70520295,19.53,Anthoceros punctatus,3,spore,UPBR,Hornwort,Azul_19.53
Azul,42.70520295,19.53,Apiaceae,3,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Asteraceae,4,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Calluna vulgaris,2,pollen,TRSH,Shrub,Azul_19.53
Azul,42.70520295,19.53,Cerealia,3,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Cryptomeria,60,pollen,TRSH,Tree,Azul_19.53
Azul,42.70520295,19.53,Culcita macrocarpa,6,spore,UPBR,Fern,Azul_19.53
Azul,42.70520295,19.53,Cyperaceae,6,pollen,UPHE,Aquatic,Azul_19.53
Azul,42.70520295,19.53,Ericaceae,10,pollen,TRSH,Shrub,Azul_19.53
Azul,42.70520295,19.53,Hypericum foliosum,2,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Myrica faya,49,pollen,TRSH,Tree,Azul_19.53
Azul,42.70520295,19.53,Myriophyllum,16,pollen,AQVP,Aquatic,Azul_19.53
Azul,42.70520295,19.53,Myrsine africana,12,pollen,TRSH,Shrub,Azul_19.53
Azul,42.70520295,19.53,Pinus pinaster,10,pollen,TRSH,Tree,Azul_19.53
Azul,42.70520295,19.53,Plantago,30,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Poaceae,48,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Pteridium aquilinum,21,spore,VACR,Fern,Azul_19.53
Azul,42.70520295,19.53,Pteris incompleta,7,spore,VACR,Fern,Azul_19.53
Azul,42.70520295,19.53,Rumex,8,pollen,UPHE,Herb,Azul_19.53
Azul,42.70520295,19.53,Selaginella kraussiana,8,spore,VACR,Fern,Azul_19.53
Azul,44.68677921,30.08,Alnus,11,pollen,TRSH,Tree,Azul_30.08
Azul,44.68677921,30.08,Anthoceros punctatus,4,spore,UPBR,Hornwort,Azul_30.08
Azul,44.68677921,30.08,Apiaceae,1,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Asteraceae,3,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Calluna vulgaris,2,pollen,TRSH,Shrub,Azul_30.08
Azul,44.68677921,30.08,Cerealia,1,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Cryptomeria,54,pollen,TRSH,Tree,Azul_30.08
Azul,44.68677921,30.08,Culcita macrocarpa,4,spore,UPBR,Fern,Azul_30.08
Azul,44.68677921,30.08,Cyperaceae,6,pollen,UPHE,Aquatic,Azul_30.08
Azul,44.68677921,30.08,Ericaceae,13,pollen,TRSH,Shrub,Azul_30.08
Azul,44.68677921,30.08,Huperzia,2,spore,VACR,Fern,Azul_30.08
Azul,44.68677921,30.08,Hypericum foliosum,1,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Ilex perado subsp. azorica,1,pollen,TRSH,Tree,Azul_30.08
Azul,44.68677921,30.08,Myrica faya,45,pollen,TRSH,Tree,Azul_30.08
Azul,44.68677921,30.08,Myriophyllum,17,pollen,AQVP,Aquatic,Azul_30.08
Azul,44.68677921,30.08,Myrsine africana,4,pollen,TRSH,Shrub,Azul_30.08
Azul,44.68677921,30.08,Pinus pinaster,20,pollen,TRSH,Tree,Azul_30.08
Azul,44.68677921,30.08,Plantago,23,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Poaceae,37,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Potamogeton,3,pollen,AQVP,Aquatic,Azul_30.08
Azul,44.68677921,30.08,Potentilla,3,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Pteridium aquilinum,21,spore,VACR,Fern,Azul_30.08
Azul,44.68677921,30.08,Pteris incompleta,2,spore,VACR,Fern,Azul_30.08
Azul,44.68677921,30.08,Rumex,5,pollen,UPHE,Herb,Azul_30.08
Azul,44.68677921,30.08,Selaginella kraussiana,8,spore,VACR,Fern,Azul_30.08
Azul,46.66835548,40.39,Alnus,12,pollen,TRSH,Tree,Azul_40.39
Azul,46.66835548,40.39,Anthoceros laevis,3,spore,UPBR,Hornwort,Azul_40.39
Azul,46.66835548,40.39,Anthoceros punctatus,14,spore,UPBR,Hornwort,Azul_40.39
Azul,46.66835548,40.39,Apiaceae,2,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Asteraceae,6,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Calluna vulgaris,2,pollen,TRSH,Shrub,Azul_40.39
Azul,46.66835548,40.39,Cryptomeria,42,pollen,TRSH,Tree,Azul_40.39
Azul,46.66835548,40.39,Culcita macrocarpa,5,spore,UPBR,Fern,Azul_40.39
Azul,46.66835548,40.39,Cyperaceae,7,pollen,UPHE,Aquatic,Azul_40.39
Azul,46.66835548,40.39,Dryopteris,1,spore,VACR,Fern,Azul_40.39
Azul,46.66835548,40.39,Ericaceae,23,pollen,TRSH,Shrub,Azul_40.39
Azul,46.66835548,40.39,Huperzia,2,spore,VACR,Fern,Azul_40.39
Azul,46.66835548,40.39,Hydrangea macrophylla,1,pollen,TRSH,Shrub,Azul_40.39
Azul,46.66835548,40.39,Hypericum foliosum,4,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Myrica faya,74,pollen,TRSH,Tree,Azul_40.39
Azul,46.66835548,40.39,Myriophyllum,22,pollen,AQVP,Aquatic,Azul_40.39
Azul,46.66835548,40.39,Myrsine africana,21,pollen,TRSH,Shrub,Azul_40.39
Azul,46.66835548,40.39,Pinus pinaster,19,pollen,TRSH,Tree,Azul_40.39
Azul,46.66835548,40.39,Plantaginaceae,4,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Plantago,29,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Poaceae,75,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Pteridium aquilinum,56,spore,VACR,Fern,Azul_40.39
Azul,46.66835548,40.39,Pteris incompleta,10,spore,VACR,Fern,Azul_40.39
Azul,46.66835548,40.39,Rubus,1,pollen,TRSH,Shrub,Azul_40.39
Azul,46.66835548,40.39,Rumex,2,pollen,UPHE,Herb,Azul_40.39
Azul,46.66835548,40.39,Selaginella kraussiana,15,spore,VACR,Fern,Azul_40.39
Azul,46.66835548,40.39,Vaccinium,3,pollen,TRSH,Tree,Azul_40.39
Azul,47.72519615,45.76,Alnus,13,pollen,TRSH,Tree,Azul_45.76
Azul,47.72519615,45.76,Anthoceros punctatus,6,spore,UPBR,Hornwort,Azul_45.76
Azul,47.72519615,45.76,Apiaceae,1,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Asteraceae,4,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Calluna vulgaris,4,pollen,TRSH,Shrub,Azul_45.76
Azul,47.72519615,45.76,Cerealia,1,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Cryptomeria,45,pollen,TRSH,Tree,Azul_45.76
Azul,47.72519615,45.76,Culcita macrocarpa,4,spore,UPBR,Fern,Azul_45.76
Azul,47.72519615,45.76,Cyperaceae,10,pollen,UPHE,Aquatic,Azul_45.76
Azul,47.72519615,45.76,Ericaceae,12,pollen,TRSH,Shrub,Azul_45.76
Azul,47.72519615,45.76,Hydrangea macrophylla,5,pollen,TRSH,Shrub,Azul_45.76
Azul,47.72519615,45.76,Myrica faya,60,pollen,TRSH,Tree,Azul_45.76
Azul,47.72519615,45.76,Myriophyllum,31,pollen,AQVP,Aquatic,Azul_45.76
Azul,47.72519615,45.76,Myrsine africana,22,pollen,TRSH,Shrub,Azul_45.76
Azul,47.72519615,45.76,Pinus pinaster,35,pollen,TRSH,Tree,Azul_45.76
Azul,47.72519615,45.76,Plantago,21,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Poaceae,55,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Potamogeton,1,pollen,AQVP,Aquatic,Azul_45.76
Azul,47.72519615,45.76,Pteridium aquilinum,28,spore,VACR,Fern,Azul_45.76
Azul,47.72519615,45.76,Pteris incompleta,7,spore,VACR,Fern,Azul_45.76
Azul,47.72519615,45.76,Rumex,2,pollen,UPHE,Herb,Azul_45.76
Azul,47.72519615,45.76,Selaginella kraussiana,11,spore,VACR,Fern,Azul_45.76
Azul,47.72519615,45.76,Zea mays,3,pollen,UPHE,Herb,Azul_45.76
Azul,51.82045376,65.19,Alnus,5,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Anthoceros punctatus,12,spore,UPBR,Hornwort,Azul_65.19
Azul,51.82045376,65.19,Asteraceae,2,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Calluna vulgaris,3,pollen,TRSH,Shrub,Azul_65.19
Azul,51.82045376,65.19,Cryptomeria,40,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Culcita macrocarpa,4,spore,UPBR,Fern,Azul_65.19
Azul,51.82045376,65.19,Cyperaceae,3,pollen,UPHE,Aquatic,Azul_65.19
Azul,51.82045376,65.19,Dryopteris,1,spore,VACR,Fern,Azul_65.19
Azul,51.82045376,65.19,Echium,9,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Ericaceae,20,pollen,TRSH,Shrub,Azul_65.19
Azul,51.82045376,65.19,Fabaceae,3,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Hydrangea macrophylla,15,pollen,TRSH,Shrub,Azul_65.19
Azul,51.82045376,65.19,Hymenophyllum,1,spore,VACR,Fern,Azul_65.19
Azul,51.82045376,65.19,Hypericum foliosum,2,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Lythrum portula,2,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Myrica faya,73,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Myriophyllum,66,pollen,AQVP,Aquatic,Azul_65.19
Azul,51.82045376,65.19,Myrsine africana,12,pollen,TRSH,Shrub,Azul_65.19
Azul,51.82045376,65.19,Olea europaea,17,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Pinus pinaster,90,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Plantaginaceae,2,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Plantago,31,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Poaceae,43,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Potentilla,5,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Pteridium aquilinum,36,spore,VACR,Fern,Azul_65.19
Azul,51.82045376,65.19,Pteris incompleta,7,spore,VACR,Fern,Azul_65.19
Azul,51.82045376,65.19,Rumex,7,pollen,UPHE,Herb,Azul_65.19
Azul,51.82045376,65.19,Selaginella kraussiana,2,spore,VACR,Fern,Azul_65.19
Azul,51.82045376,65.19,Vaccinium,1,pollen,TRSH,Tree,Azul_65.19
Azul,51.82045376,65.19,Zea mays,3,pollen,UPHE,Herb,Azul_65.19
Azul,54.8588707,77.35,Anthoceros punctatus,3,spore,UPBR,Hornwort,Azul_77.35
Azul,54.8588707,77.35,Asteraceae,6,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Calluna vulgaris,2,pollen,TRSH,Shrub,Azul_77.35
Azul,54.8588707,77.35,Castanea,1,pollen,TRSH,Tree,Azul_77.35
Azul,54.8588707,77.35,Cerealia,1,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Cryptomeria,52,pollen,TRSH,Tree,Azul_77.35
Azul,54.8588707,77.35,Culcita macrocarpa,4,spore,UPBR,Fern,Azul_77.35
Azul,54.8588707,77.35,Cyperaceae,1,pollen,UPHE,Aquatic,Azul_77.35
Azul,54.8588707,77.35,Dryopteris,5,spore,VACR,Fern,Azul_77.35
Azul,54.8588707,77.35,Ericaceae,10,pollen,TRSH,Shrub,Azul_77.35
Azul,54.8588707,77.35,Huperzia,2,spore,VACR,Fern,Azul_77.35
Azul,54.8588707,77.35,Hypericum foliosum,1,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Juniperus brevifolia,1,pollen,TRSH,Tree,Azul_77.35
Azul,54.8588707,77.35,Myrica faya,49,pollen,TRSH,Tree,Azul_77.35
Azul,54.8588707,77.35,Myriophyllum,53,pollen,AQVP,Aquatic,Azul_77.35
Azul,54.8588707,77.35,Myrsine africana,14,pollen,TRSH,Shrub,Azul_77.35
Azul,54.8588707,77.35,Pinus pinaster,292,pollen,TRSH,Tree,Azul_77.35
Azul,54.8588707,77.35,Plantago,29,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Poaceae,53,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Potamogeton,1,pollen,AQVP,Aquatic,Azul_77.35
Azul,54.8588707,77.35,Potentilla,2,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Pteridium aquilinum,28,spore,VACR,Fern,Azul_77.35
Azul,54.8588707,77.35,Pteris incompleta,8,spore,VACR,Fern,Azul_77.35
Azul,54.8588707,77.35,Rumex,4,pollen,UPHE,Herb,Azul_77.35
Azul,54.8588707,77.35,Selaginella kraussiana,9,spore,VACR,Fern,Azul_77.35
Azul,54.8588707,77.35,Zea mays,3,pollen,UPHE,Herb,Azul_77.35
Azul,57.76518255,85.81,Alnus,1,pollen,TRSH,Tree,Azul_85.81
Azul,57.76518255,85.81,Amaranthaceae,1,pollen,UPHE,Herb,Azul_85.81
Azul,57.76518255,85.81,Anthoceros laevis,4,spore,UPBR,Hornwort,Azul_85.81
Azul,57.76518255,85.81,Anthoceros punctatus,10,spore,UPBR,Hornwort,Azul_85.81
Azul,57.76518255,85.81,Apiaceae,1,pollen,UPHE,Herb,Azul_85.81
Azul,57.76518255,85.81,Asteraceae,8,pollen,UPHE,Herb,Azul_85.81
Azul,57.76518255,85.81,Calluna vulgaris,4,pollen,TRSH,Shrub,Azul_85.81
Azul,57.76518255,85.81,Cerealia,1,pollen,UPHE,Herb,Azul_85.81
Azul,57.76518255,85.81,Cryptomeria,26,pollen,TRSH,Tree,Azul_85.81
Azul,57.76518255,85.81,Culcita macrocarpa,6,spore,UPBR,Fern,Azul_85.81
