lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Caldeirao,CL17-03_586,255.56,1694.44,0.44606414,0.12827988,0.42565598,0,0.56756757,0.13513514,0.18918919,0.10810811
Caldeirao,CL17-03_549,235.16,1714.84,0.71084337,0.05120482,0.23795181,0,0.6744186,0.04651163,0.27906977,0
Caldeirao,CL17-03_542,231.3,1718.7,0.46302251,0.1318328,0.38906752,0.01607717,0.5625,0.125,0.21875,0.09375
Caldeirao,CL17-03_531,225.24,1724.76,0.5227882,0.09651475,0.38069705,0,0.5625,0.125,0.21875,0.09375
Caldeirao,CL17-03_505,210.9,1739.1,0.71471471,0.05105105,0.23423423,0,0.9047619,0.01587302,0.07936508,0
Caldeirao,CL17-03_480,197.12,1752.88,0.71556886,0.05389222,0.23053892,0,0.69047619,0.14285714,0.14285714,0.02380952
Caldeirao,CL17-03_476,194.91,1755.09,0.4967033,0.14725275,0.35164835,0.0043956,0.53571429,0.10714286,0.25,0.10714286
Caldeirao,CL17-03_421,164.59,1785.41,0.56353591,0.09116022,0.34530387,0,0.52173913,0.08695652,0.30434783,0.08695652
Caldeirao,CL17-03_380,141.98,1808.02,0.72619048,0.05357143,0.2202381,0,0.82857143,0.08571429,0.08571429,0
Caldeirao,CL17-03_366,134.26,1815.74,0.57845433,0.1030445,0.31147541,0.00702576,0.47368421,0.05263158,0.36842105,0.10526316
Caldeirao,CL17-03_330,114.41,1835.59,0.72997033,0.05637982,0.21364985,0,0.82142857,0.07142857,0.10714286,0
Caldeirao,CL17-03_311,103.93,1846.07,0.55852843,0.1638796,0.26421405,0.01337793,0.42857143,0,0.5,0.07142857
Caldeirao,CL17-03_280,86.84,1863.16,0.73590504,0.05637982,0.20771513,0,0.66666667,0.06666667,0.26666667,0
Caldeirao,CL17-03_256,73.61,1876.39,0.51658768,0.16587678,0.31279621,0.00473934,0.3,0,0.7,0
Caldeirao,CL17-03_220,53.76,1896.24,0.74041298,0.05899705,0.20058997,0,0.83333333,0.06666667,0.1,0
Caldeirao,CL17-03_201,43.28,1906.72,0.55284553,0.11653117,0.32791328,0.00271003,0,0,1,0
Caldeirao,CL17-03_146,12.96,1937.04,0.51105651,0.16461916,0.3022113,0.02211302,0,0,1,0
Caldeirao,CL17-03_110,-6.89,1956.89,0.74853801,0.06140351,0.19005848,0,0.875,0.03125,0.09375,0
Caldeirao,CL17-03_91,-17.37,1967.37,0.50485437,0.17475728,0.29449838,0.02588997,0,0,1,0
Caldeirao,CL17-03_60,-34.46,1984.46,0.75438596,0.06140351,0.18421053,0,0.80769231,0.03846154,0.15384615,0
Caveiro,CVL_1B_5080,3077,-1127,0.61170213,0.0248227,0.14184397,0.22163121,0.81865285,0.01554404,0.13989637,0.02590674
Caveiro,CVL_1B_5030,3021,-1071,0.8,0.025,0.07692308,0.09807692,0.79076923,0.01846154,0.14769231,0.04307692
Caveiro,CVL_1B_4980,2965,-1015,0.71785029,0.06525912,0.11708253,0.09980806,0.77966102,0.01937046,0.15254237,0.04842615
