age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
485,-0.311306,-0.5040013,-0.6256863,-0.7409088,-0.484,-0.3643605,-0.5463474,0.24,0.02620433,-0.4116871,-0.4584586,-0.434,-0.62215,-0.6593542,-0.0810995,-0.398477,-0.4584586
486,-0.2561538,-0.6326476,-0.4534043,-1.543396,-0.388,-0.3250487,-0.8191033,0.07,-0.5807901,-0.5247524,-0.5238613,-0.39,-0.90571,-0.6699647,-0.0986466,-0.5360986,-0.5238613
487,0.26424099,-0.3603076,-0.2287921,-0.6547033,-0.097,-0.2629259,-0.623413,0.07,-0.1966029,-0.0535716,-0.2876959,-0.212,-0.53042,-0.5125195,0.058718,-0.2417995,-0.2287921
488,-0.6697563,-0.5576004,-0.4858412,-1.4414068,-0.504,-0.3649774,-0.7802973,-0.11,-0.2553626,-0.4961674,-0.4758653,-0.36,-1.0665,-0.5891111,0.09820606,-0.5372453,-0.4961674
489,-0.397181,-0.5626216,-0.6783289,-0.9955429,-0.323,-0.3760119,-0.6369076,-0.04,-0.1979571,-0.5872963,-0.4680259,-0.44,-0.84392,-0.587443,0.05155185,-0.472179,-0.4680259
490,0.28826699,-0.3402195,-0.3514769,-0.7699053,-0.075,-0.2237289,-0.5459007,0.63,-0.0735287,-0.0527421,-0.2798449,-0.182,-0.21927,-0.6035476,0.02132779,-0.1851713,-0.21927
491,-0.3027727,-0.2620078,-0.2023733,-0.5790706,-0.138,-0.2260998,-0.5046297,-0.03,0.10976437,0.05024631,-0.2194,-0.132,-0.26817,-0.5326139,0.14773835,-0.2059593,-0.2194
492,-0.311306,-0.4580734,-0.3830276,-0.6566593,-0.065,-0.3254272,-0.5702146,0.13,-0.1943421,-0.3866976,-0.3759392,-0.278,-0.61482,-0.4837362,0.08415078,-0.3259395,-0.3759392
493,-0.3528106,-0.3892506,-0.3452653,-0.3356789,0.168,-0.3528157,-0.5150523,-0.14,-0.0119887,-0.3153196,-0.2733279,-0.244,-0.35802,-0.4815938,0.09629953,-0.2567216,-0.3356789
494,-0.0470522,-0.2674769,-0.2114219,-0.1645133,0.086,-0.2723242,-0.341214,0.05,0.40115283,0.10113126,-0.1496422,-0.169,-0.11269,-0.428286,0.10603147,-0.0946203,-0.1496422
495,-0.466249,-0.4254035,-0.2652624,-0.7647179,-0.108,-0.3484188,-0.5717739,-0.24,-0.1160252,-0.1164814,-0.2936886,-0.304,-0.4601,-0.5839093,-0.1632972,-0.3484885,-0.304
496,-0.5409039,-0.4540769,-0.4324849,-0.4279086,-0.13,-0.3769704,-0.4550013,-0.25,-0.0156016,-0.42629,-0.3185019,-0.304,-0.26743,-0.4788454,-0.1226052,-0.3333747,-0.3769704
497,-0.5460331,-0.6216301,-0.7163841,-0.7686575,-0.355,-0.4679743,-0.5526839,-0.04,-0.0506218,-0.6609109,-0.5027508,-0.433,-0.75719,-0.5889178,-0.1826282,-0.4829588,-0.5460331
498,-0.1658905,-0.5504585,-0.4384091,-0.4470325,-0.156,-0.4539928,-0.5815197,-0.18,-0.1320493,-0.4691998,-0.4224066,-0.356,-0.57586,-0.6679603,-0.3118662,-0.3939097,-0.4384091
499,0.05870714,-0.3885773,-0.323818,-0.4120393,-0.185,-0.3527208,-0.3919071,-0.11,0.14822065,-0.0555897,-0.258119,-0.178,-0.31183,-0.6004812,-0.1895693,-0.2367149,-0.258119
500,-0.4153659,-0.5767884,-0.5692822,-0.4878352,-0.199,-0.4098509,-0.5168934,-0.05,-0.1099127,-0.4636732,-0.4114983,-0.321,-0.34752,-0.6278113,-0.3018764,-0.3872205,-0.4114983
501,-0.3869594,-0.4822197,-0.5065171,-0.5060552,-0.058,-0.4078802,-0.4113473,-0.01,0.16984876,-0.4717947,-0.3522334,-0.292,-0.62067,-0.540675,-0.1082175,-0.3323147,-0.4078802
502,-0.284513,-0.4108774,-0.3771212,-0.0266843,-0.032,-0.3560742,-0.4936694,-0.2,-0.0580505,-0.1663439,-0.3064089,-0.292,-0.27158,-0.6384649,-0.2547487,-0.2779024,-0.284513
503,-0.2618207,-0.4093238,-0.3990411,-0.197818,-0.175,-0.3401576,-0.3792352,0.65,0.44734167,-0.1360182,-0.2557166,-0.232,-0.19101,-0.5192731,-0.1199687,-0.1679361,-0.232
504,-0.2742744,-0.3628357,-0.4889572,-0.1255198,-0.046,-0.3477812,-0.3922946,0.62,0.17828485,-0.3108841,-0.2833042,-0.309,-0.45484,-0.4639434,-0.0136367,-0.2049991,-0.309
505,-0.0742663,-0.3076296,-0.2622941,-0.3106052,-0.21,-0.3155392,-0.4789553,0.01,0.17865391,0.02337548,-0.2250773,-0.32,-0.24677,-0.6157582,-0.149426,-0.2202861,-0.24677
506,-0.4121218,-0.5208245,-0.5128886,-1.0316198,-0.455,-0.4390101,-0.6315443,0.08,0.04651672,-0.2282075,-0.4160234,-0.474,-0.38575,-0.7354099,-0.5641487,-0.4453355,-0.455
507,-0.6218292,-0.4960662,-0.4960375,-0.4924078,-0.359,-0.4893283,-0.6192814,-0.05,-0.0666732,-0.246329,-0.3790564,-0.423,-0.61329,-0.6638318,-0.2794601,-0.4197061,-0.4893283
508,-0.2465975,-0.4301941,-0.4687465,-0.1183026,-0.217,-0.3719242,-0.4875311,-0.28,0.18954403,-0.2006756,-0.3437355,-0.329,-0.47052,-0.5148298,-0.142332,-0.2954563,-0.329
509,-0.1462563,-0.3863712,-0.4402037,-0.7728197,-0.157,-0.2983032,-0.4949475,-0.11,0.21486487,0.10826481,-0.3015384,-0.279,-0.10922,-0.6425134,-0.3044062,-0.27463,-0.2983032
510,-0.1443228,-0.2100101,-0.0760715,-0.3537168,-0.027,-0.2380715,-0.4452041,0.06,0.39392127,0.34332621,-0.120614,-0.084,-0.067321,-0.513998,-0.0928943,-0.1050651,-0.0928943
511,-0.007627,-0.4254181,-0.5040773,-1.1154747,-0.363,-0.3156867,-0.5586952,-0.08,0.17910854,-0.1170296,-0.3442245,-0.337,-0.48486,-0.607784,-0.16059,-0.3494906,-0.3442245
512,-0.3402294,-0.4292734,-0.4399901,-0.6305077,-0.374,-0.3417745,-0.5870702,0.43,0.13800782,-0.1285505,-0.3482038,-0.349,-0.41017,-0.5160733,-0.1271876,-0.2969348,-0.349
513,-0.0869855,-0.2337761,-0.3889367,-0.2936641,0.01,-0.2464113,-0.3965206,-0.2,0.40455004,0.17295688,-0.1668595,-0.215,0.1047,-0.5298451,-0.1666004,-0.1488261,-0.2
514,0.12281308,-0.3100459,-0.3335433,-0.6977076,-0.166,-0.3205681,-0.5321678,-0.21,0.19008742,-0.0380143,-0.2444925,-0.24,-0.41834,-0.6192891,-0.2411875,-0.2705637,-0.2444925
515,-0.5199678,-0.3497363,-0.4837147,-0.6003246,-0.451,-0.3128116,-0.5193456,-0.15,0.23591386,0.07126208,-0.2279626,-0.308,0.0074274,-0.6048607,-0.2050876,-0.2945472,-0.3128116
516,-0.7410293,-0.3732149,-0.5674025,-1.4436508,-0.387,-0.3090352,-0.6201631,-0.41,0.21371217,-0.1734103,-0.2831932,-0.355,-0.7043,-0.5533631,-0.0659888,-0.4515359,-0.387
517,-0.4107471,-0.1939672,-0.1236214,-0.5097982,-0.142,-0.2495439,-0.5252674,0.41,0.29152342,0.42205026,-0.0839713,-0.149,-0.16199,-0.5860192,-0.0167789,-0.1352754,-0.149
518,-0.0453591,-0.2193802,-0.2741087,-0.6846517,-0.104,-0.2357262,-0.4951216,0.42,0.27842433,0.38270162,-0.1222087,-0.202,-0.15062,-0.6397361,-0.1124939,-0.146952,-0.15062
519,-0.2848228,-0.2773606,-0.2695356,-0.5104589,-0.127,-0.2841343,-0.5638568,0.53,0.15374751,0.24637962,-0.1788478,-0.131,-0.3411,-0.5094039,-0.0090739,-0.1704312,-0.2695356
520,-0.5235549,-0.3851195,-0.3120971,-0.4989701,-0.143,-0.3833636,-0.6574851,0.35,0.0104343,0.10574455,-0.2705311,-0.208,-0.43207,-0.6035039,-0.1367365,-0.2725502,-0.3120971
521,0.02247308,-0.2529755,-0.194468,-0.4253867,-0.188,-0.2568367,-0.5271868,0.17,0.27715816,0.3575532,-0.1304334,-0.154,0.096934,-0.5855548,0.03595565,-0.1169845,-0.154
522,-0.3294456,-0.510168,-0.367753,-1.0054745,-0.407,-0.4047265,-0.782081,-0.2,-0.2607726,-0.1113003,-0.3966497,-0.338,-0.5756,-0.7491505,-0.1980632,-0.4424123,-0.3966497
523,-0.4337208,-0.3173428,-0.2233918,-0.2822292,-0.137,-0.3064905,-0.4985266,0.07,0.35893777,0.17502439,-0.2002082,-0.196,-0.11804,-0.5613997,0.01952882,-0.1767239,-0.2002082
524,0.02821887,-0.3264604,-0.1962032,-0.6436504,-0.231,-0.3000501,-0.5838722,0.14,0.1735085,0.20888535,-0.2118822,-0.223,-0.074973,-0.72344,-0.0788749,-0.2028529,-0.2118822
525,-0.0788915,-0.2208012,-0.3917949,-0.3021642,-0.132,-0.2944084,-0.4813476,-0.41,0.35947639,0.18146204,-0.1321026,-0.24,-0.1712,-0.6946179,0.00272758,-0.2003775,-0.2208012
526,-0.3263378,-0.2849283,-0.2887886,-0.4127988,-0.263,-0.2798501,-0.5782747,-0.15,0.22773324,0.12345136,-0.1791317,-0.218,-0.25107,-0.5596159,0.07038228,-0.2246819,-0.263
527,-0.0472681,-0.1555525,-0.2083103,-0.0763554,-0.08,-0.2436639,-0.4627366,0.89,0.43155521,0.38200526,-0.0661496,-0.181,0.0071071,-0.5625489,0.1986151,-0.0116202,-0.0763554
528,-0.5715121,-0.553864,-0.4644174,-0.9212098,-0.27,-0.4183695,-0.7996722,0.4,-0.2340993,-0.2658442,-0.4034616,-0.34,-0.91859,-0.7537633,-0.113652,-0.441897,-0.4183695
529,-0.3786949,-0.5103562,-0.5399694,-0.6570797,-0.257,-0.3643143,-0.6597097,0.42,0.00502812,0.02238127,-0.3617696,-0.341,-0.3201,-0.8411418,-0.1548579,-0.3292389,-0.3617696
530,-0.1663651,-0.2011028,-0.3394946,0.16408059,-0.338,-0.2678181,-0.3905297,0.97,0.63684604,0.54571904,-0.0603381,-0.179,0.26385,-0.7129856,0.00824165,-0.0044598,-0.1663651
531,0.10759143,-0.5102135,-0.502752,-0.974715,-0.297,-0.2594552,-0.6427889,0.2,0.06353944,0.14139116,-0.364783,-0.345,-0.14621,-0.8544574,-0.1378385,-0.3015128,-0.297
532,-0.3506199,-0.322976,-0.4105134,-0.5976467,0.127,-0.3090588,-0.5920352,0.13,0.18786775,0.21809548,-0.2439216,-0.392,-0.26427,-0.9752129,-0.2040148,-0.2666204,-0.3090588
533,-0.2305936,-0.4472595,-0.425789,-0.7996088,-0.321,-0.3461949,-0.6361422,-0.09,0.30143424,0.03546951,-0.3478603,-0.287,-0.49067,-0.7638173,-0.1011036,-0.330009,-0.3461949
534,-0.2863102,-0.3627843,-0.4403338,-0.4302373,-0.447,-0.3031876,-0.5922234,-0.04,0.25331772,0.16638188,-0.2370091,-0.284,-0.071732,-0.7315651,-0.0459965,-0.2568453,-0.2863102
535,-0.1767401,-0.41315,-0.3134444,-0.5549635,-0.726,-0.2431914,-0.6395161,-0.03,0.1586902,0.25966829,-0.2715941,-0.27,0.073355,-0.87008,-0.0633531,-0.2720213,-0.27
536,-2.0237559,-1.4357085,-1.7101928,-3.3553611,-1.24,-0.8911066,-1.259612,-0.38,-1.1843597,-2.5767644,-1.3641737,-1.06,-2.4674,-1.3412287,-0.8634119,-1.5435384,-1.3412287
537,-1.5462556,-1.2257349,-1.3026802,-2.475233,-0.607,-0.7576682,-1.1618218,-0.7,-1.0363657,-1.8777486,-1.1131151,-0.807,-1.9301,-1.1749903,-0.7305836,-1.2297531,-1.1618218
538,-1.287839,-0.8303154,-0.8440069,-0.4927256,-0.198,-0.6134382,-0.8033542,-0.26,-0.4243333,-0.8135891,-0.6936416,-0.559,-0.98719,-1.0057778,-0.3994424,-0.6808436,-0.6936416
539,-1.1975457,-0.9344371,-0.8827959,-1.2318437,-0.444,-0.5771606,-0.9517862,0.31,-0.665622,-0.7712991,-0.7616332,-0.578,-0.92574,-1.098618,-0.4749431,-0.745695,-0.7712991
540,-1.2042285,-1.1721486,-1.293027,-1.5091322,-0.484,-0.6750122,-0.9816159,-0.48,-0.7722146,-1.3579484,-0.9950232,-0.814,-1.4008,-1.0798296,-0.5807562,-0.9866491,-0.9950232
541,-1.3808712,-1.1730105,-1.2545547,-1.6901843,-0.636,-0.7164536,-1.0147227,-0.61,-0.8627178,-1.5708936,-1.0328849,-0.749,-1.6755,-1.0690321,-0.6409105,-1.0717824,-1.0328849
542,-0.4421236,-1.1483374,-1.1699967,-2.4648575,-0.918,-0.5697042,-1.0958789,-0.62,-0.8824554,-1.1386187,-0.9481623,-0.701,-1.3533,-1.2347152,-0.6608498,-1.0232,-0.9481623
543,-1.7672925,-1.3994781,-1.332393,-2.9022229,-0.749,-0.7383999,-1.2065764,-0.29,-1.2017782,-1.7817671,-1.2014727,-0.858,-1.913,-1.2386589,-0.8668549,-1.2964597,-1.2065764
544,-1.4391191,-1.3366041,-1.3408269,-2.2621509,-0.815,-0.7410985,-1.170415,-0.46,-1.1372041,-1.5742856,-1.1378074,-0.866,-1.7383,-1.1618449,-0.8343408,-1.2009998,-1.1618449
545,-1.6318914,-1.4952975,-1.4871813,-2.7841927,-0.788,-0.820493,-1.2732285,-0.7,-1.3711863,-1.8909707,-1.2509131,-0.887,-2.1203,-1.1859583,-0.792809,-1.3652948,-1.2732285
546,-1.4994935,-1.3290464,-1.2995547,-2.9817876,-0.779,-0.7527842,-1.2450646,-0.39,-1.2066968,-1.714164,-1.187822,-0.888,-2.0198,-1.1912413,-0.7136716,-1.2798751,-1.2066968
547,-1.2825905,-1.181057,-1.1376357,-2.8558724,-0.715,-0.5931103,-1.1695865,-0.48,-0.9601995,-1.1460244,-1.0136962,-0.728,-1.6389,-1.0780166,-0.5482316,-1.1018614,-1.0780166
548,-0.6074225,-1.0949557,-1.1392316,-2.5089944,-0.478,-0.5669334,-1.1439372,-0.22,-0.8643544,-1.0432607,-0.9286016,-0.695,-1.4553,-0.9634263,-0.4011643,-0.9407055,-0.9286016
549,-0.5516822,-1.1414142,-1.197991,-1.9634598,-0.394,-0.6232729,-1.0915705,-0.02,-1.0133678,-1.1139524,-0.9399411,-0.689,-1.1602,-1.0750874,-0.6593797,-0.9089546,-1.0133678
550,-1.1254232,-1.2223101,-1.2762288,-2.1949672,-0.576,-0.6573957,-1.0965516,-0.11,-0.9222733,-1.2522386,-0.9969041,-0.741,-1.2175,-1.107411,-0.6764526,-1.0115104,-1.0965516
551,-0.8524877,-1.0516876,-1.2165039,-2.0810876,-0.29,-0.5536677,-1.0072201,-0.27,-0.7907674,-0.9673268,-0.8731414,-0.647,-1.1121,-0.9302586,-0.4762265,-0.8746317,-0.8731414
552,-1.2874111,-1.0599129,-1.0619801,-1.7425858,-0.348,-0.6497786,-0.9901568,-0.14,-0.6143074,-1.1219587,-0.8796498,-0.627,-1.4614,-0.8337488,-0.3908706,-0.880584,-0.8796498
553,-0.6705918,-1.0019744,-1.0526661,-1.7025184,-0.407,-0.5632397,-0.9467331,-0.26,-0.6951795,-0.9586065,-0.8588538,-0.621,-1.2977,-0.8240359,-0.3753454,-0.8156963,-0.8240359
554,-0.9530289,-0.9914675,-0.9895541,-2.3815226,-0.346,-0.5069384,-0.9869845,-0.17,-0.6151144,-0.68231,-0.8322958,-0.651,-1.1897,-0.8952322,-0.4637204,-0.8436579,-0.8322958
555,-0.7668847,-0.6240612,-0.780757,-1.5556424,-0.242,-0.3429815,-0.7550446,-0.36,-0.0022304,-0.1763999,-0.4993397,-0.425,-0.53748,-0.7753056,-0.1852212,-0.5352232,-0.4993397
556,-0.852155,-0.7335743,-0.9929149,-1.8783707,-0.208,-0.3970799,-0.7994767,-0.34,-0.0505956,-0.4395386,-0.5808349,-0.56,-0.82142,-0.7828104,-0.2068172,-0.6429059,-0.5808349
557,-0.0980712,-0.6054921,-0.7545176,-0.8807912,-0.004,-0.3612214,-0.6786571,-0.13,0.03244876,-0.0406608,-0.461235,-0.41,-0.33461,-0.7898719,-0.3212928,-0.3891982,-0.3612214
558,-0.4642275,-0.53809,-0.7871434,-1.0432966,-0.095,-0.3521675,-0.6726597,0.11,0.14727822,-0.0503959,-0.4237801,-0.435,-0.3909,-0.7472131,-0.1577924,-0.3933592,-0.4237801
559,0.73034549,-0.4537657,-0.4300238,-1.3507294,-0.264,-0.2155231,-0.7571411,0.29,-0.0008959,0.28312408,-0.3077064,-0.237,-0.1427,-0.6514226,-0.0057851,-0.2342149,-0.237
560,-0.5419414,-0.5282943,-0.7485164,-1.1297024,-0.359,-0.3070961,-0.7500191,-0.15,-0.0110771,-0.1550943,-0.4123459,-0.433,-0.45296,-0.7066763,-0.0166319,-0.4468237,-0.433
561,-0.3660514,-0.5522064,-0.5124629,-1.2557856,-0.11,-0.3152851,-0.8371282,-0.01,-0.2446288,-0.2092655,-0.4487695,-0.299,-0.81551,-0.5947195,0.05926553,-0.4341032,-0.3660514
562,-0.0269542,-0.617743,-0.5351039,-1.8951888,-0.227,-0.289431,-0.8922373,0.13,-0.4492243,-0.3111312,-0.4928349,-0.375,-0.91916,-0.7171605,-0.1042412,-0.5148274,-0.4492243
563,-0.8065048,-0.5152479,-0.6053164,-1.5683275,-0.119,-0.2776526,-0.7783518,-0.25,-0.1243674,-0.1747097,-0.4102208,-0.382,-0.93666,-0.6549019,0.18949017,-0.4942514,-0.4102208
564,-0.1037553,-0.4409586,-0.4056834,-1.2261897,-0.183,-0.2246684,-0.8244131,-0.3,-0.2332428,0.2023391,-0.3050871,-0.299,-0.31711,-0.7502925,0.04237251,-0.3579126,-0.3
565,-0.1513678,-0.4210173,-0.5089725,-1.3220085,-0.127,-0.2694985,-0.8501416,-0.05,-0.2664263,-0.0099119,-0.3591617,-0.32,-0.32371,-0.7433978,0.0927925,-0.3753214,-0.32
566,-0.4911366,-0.5423948,-0.5884148,-1.1652117,0.037,-0.3433917,-0.8039747,-0.27,-0.2355418,-0.2265856,-0.4411814,-0.433,-0.6065,-0.7020099,-0.0517772,-0.457608,-0.4411814
567,0.00475681,-0.3153961,-0.3160485,-0.9655391,0.192,-0.2454503,-0.7056681,-0.2,0.0690515,0.24659817,-0.2071238,-0.216,-0.083452,-0.7651441,-0.1254811,-0.2421931,-0.2071238
568,-0.4492226,-0.3892994,-0.2846001,-0.878739,-0.388,-0.2401304,-0.7684283,0.04,-0.0080737,0.10252391,-0.3003144,-0.322,-0.4184,-0.5907699,0.2625026,-0.3088634,-0.322
569,-0.1757277,-0.4537693,-0.4463763,-2.5145577,-0.735,-0.1464286,-0.8800182,-0.14,-0.0212824,0.11797768,-0.3760073,-0.36,-0.45839,-0.8171551,0.10316796,-0.4869045,-0.3760073
570,-0.757205,-0.4021979,-0.0461332,-2.0632897,-0.28,-0.1858692,-0.9795182,-0.17,-0.4139227,0.09251434,-0.2913668,-0.194,-0.38952,-0.8240946,0.12467132,-0.4519954,-0.2913668
571,-0.4969029,-0.7809257,-0.6764384,-1.4293434,-0.017,-0.4415364,-0.8606812,-0.16,-0.3502788,-0.5711131,-0.6016965,-0.478,-0.78919,-0.8432338,-0.2888366,-0.5856785,-0.5711131
572,0.17149099,-0.412704,-0.0603631,-1.4023145,0.313,-0.2189825,-0.8237016,-0.17,-0.1755992,0.04133183,-0.2546392,-0.29,-0.28447,-0.7319901,-0.0048772,-0.2869212,-0.2189825
573,-0.4507729,-0.3606616,-0.020111,-0.5733225,0.405,-0.2289051,-0.6749421,0.11,-0.0581354,0.0540076,-0.1989127,-0.273,-0.30767,-0.6443375,-0.0011531,-0.2148611,-0.2289051
574,-0.1960973,-0.5411127,-0.3300984,-1.5489658,-0.265,-0.3107489,-0.8441324,0.06,-0.2514546,-0.2547602,-0.3767943,-0.423,-0.61347,-0.8487162,-0.1760655,-0.4613611,-0.3300984
575,-0.8697925,-0.7056891,-0.9048556,-1.2699968,-0.542,-0.4514112,-0.887127,-0.15,-0.4082346,-0.7511184,-0.5770389,-0.508,-0.96997,-0.8522911,-0.0837995,-0.6620883,-0.7056891
576,-0.1438672,-0.4495915,-0.3315706,-1.3879279,-0.403,-0.2306601,-0.8154163,0.18,-0.1503379,0.06449479,-0.2774202,-0.323,-0.16153,-0.8237805,-0.0047978,-0.3505603,-0.2774202
577,-0.4603833,-0.6902936,-0.5833276,-1.4192696,-0.48,-0.3555667,-0.8657822,0.13,-0.2766521,-0.3787707,-0.5093252,-0.475,-0.69996,-0.8138261,-0.1150885,-0.532883,-0.48
578,-0.509396,-0.5160144,-0.3141945,-1.7438454,-0.422,-0.2531645,-0.8591685,-0.15,-0.1397489,-0.0197213,-0.3422673,-0.436,-0.27268,-0.8110284,0.04830383,-0.449395,-0.3422673
579,-0.5285087,-0.554471,-0.3040988,-1.6420277,-0.104,-0.3101666,-0.9054447,0.02,-0.4079117,-0.1452576,-0.3760997,-0.385,-0.32099,-0.8128636,-0.0963096,-0.45821,-0.3760997
580,-0.2366273,-0.3998199,-0.0668555,-1.6813275,-0.087,-0.1743334,-0.8512203,0.11,-0.1703228,0.22655854,-0.2150673,-0.224,-0.14329,-0.81539,-0.0104638,-0.315944,-0.1743334
581,-0.3318523,-0.578744,-0.423097,-1.1621912,-0.282,-0.3257125,-0.8365744,0.33,-0.2925021,-0.1959246,-0.3818833,-0.379,-0.25209,-0.8803438,-0.2415178,-0.4155622,-0.3318523
582,-0.8650436,-0.9512909,-1.0441648,-1.2723834,-0.365,-0.586862,-0.8544657,-0.26,-0.3631758,-1.1001679,-0.7628532,-0.608,-1.1881,-0.8588256,-0.3795575,-0.7639927,-0.8544657
583,0.00032774,-0.3895275,-0.2441012,-1.0160393,-0.363,-0.2187728,-0.8169903,0.03,-0.1480852,0.10842823,-0.2490944,-0.308,-0.12116,-0.7860789,0.05103069,-0.2980709,-0.2441012
584,-0.1486454,-0.4561954,-0.5560585,-1.0682931,-0.1,-0.2499976,-0.7041799,0.2,0.09922405,-0.0812924,-0.3397716,-0.419,-0.27641,-0.8151645,0.01388815,-0.3267931,-0.27641
585,0.43548358,-0.4272576,-0.3220686,-0.9870593,-0.088,-0.25502,-0.7724475,-0.11,-0.1305832,0.07541927,-0.2867902,-0.363,-0.074668,-0.8032451,-0.0957457,-0.2803322,-0.25502
586,0.45302459,-0.3690525,-0.3003261,-0.1349054,0.061,-0.2706659,-0.6871372,0.23,-0.0636353,0.13091541,-0.1819285,-0.361,0.24865,-0.6677149,-0.0052521,-0.1278685,-0.1349054
587,0.35457877,-0.2453415,-0.2340407,-0.5211636,0.07,-0.2316699,-0.6052723,0.09,0.30861093,0.30842259,-0.1182278,-0.278,-0.018416,-0.681699,0.15028653,-0.1101288,-0.1182278
588,0.11437622,-0.3258177,-0.3784904,-0.032564,0.148,-0.2821419,-0.5473251,0.03,0.29186913,0.20268243,-0.1202229,-0.309,0.28533,-0.7597257,-0.1095949,-0.1195083,-0.1095949
589,-0.1028764,-0.3861847,-0.2642339,-0.4636306,0.102,-0.3267232,-0.6443189,-0.43,0.05716153,-0.078242,-0.257534,-0.313,-0.36868,-0.6495281,0.04796575,-0.271855,-0.313
590,-0.0003645,-0.3492652,-0.3503474,-0.2930767,0.068,-0.2837663,-0.6348718,0.04,-0.0330003,0.07585411,-0.1783835,-0.358,-0.032398,-0.7658546,-0.0584521,-0.2102618,-0.1783835
591,0.27382263,-0.5634534,-0.5653146,-0.5776787,-0.106,-0.356859,-0.7086592,-0.09,-0.2175861,-0.0926369,-0.2797298,-0.353,0.15916,-0.9178828,-0.5248628,-0.3280454,-0.353
592,0.00406707,-0.4646257,-0.3910528,-0.5405194,-0.058,-0.3264656,-0.7734894,0.17,-0.3336155,-0.049263,-0.225067,-0.351,0.037657,-0.8333661,-0.319009,-0.2969166,-0.3264656
593,0.13326575,-0.1977005,-0.3036127,0.01592348,0.054,-0.2619333,-0.6245629,-0.17,0.3188542,0.2862586,-0.0552354,-0.243,0.16078,-0.6273621,0.10759967,-0.0937817,-0.0552354
594,0.0815983,-0.3326052,-0.4378588,-0.6024855,0.028,-0.2733467,-0.6847973,-0.01,0.11596897,0.21094118,-0.090743,-0.323,0.104,-0.8255825,-0.1710189,-0.214062,-0.1710189
595,0.54399573,-0.0929014,-0.0260062,-0.054994,-0.032,-0.1794767,-0.5638437,0.43,0.31503295,0.63649319,0.14482289,-0.143,0.60616,-0.7496102,-0.1023354,0.04882248,-0.032
596,-0.3267987,-0.6330049,-0.4484694,-1.8275892,-0.23,-0.4100874,-0.9152499,-0.21,-0.4921056,-0.481405,-0.4245557,-0.405,-0.93986,-0.7373352,-0.107714,-0.5726117,-0.4484694
597,-0.1259413,-0.3880447,-0.3072929,0.13641863,0.206,-0.3604638,-0.6232205,0.2,-0.056915,0.00828413,-0.2189259,-0.34,-0.073791,-0.6371663,-0.2004041,-0.1854308,-0.2004041
598,-0.6837987,-0.4449186,-0.2756375,-0.6235627,0.163,-0.4165179,-0.8272383,0.02,-0.3647358,-0.258727,-0.2753933,-0.319,-0.39563,-0.6877734,-0.2217697,-0.3741135,-0.3647358
599,-0.1868003,-0.5753047,-0.5518144,-0.0859659,0.123,-0.4744082,-0.6573952,-0.34,0.03530049,-0.4318054,-0.3673596,-0.408,-0.46422,-0.6569641,-0.2918202,-0.3555705,-0.408
600,-0.1120975,-0.4635686,-0.1768876,-0.459362,-0.007,-0.3189665,-0.7178525,0.03,-0.1918729,0.02375866,-0.2442475,-0.263,-0.062737,-0.7195865,-0.3473041,-0.2687149,-0.2442475
601,0.19120193,-0.5013398,-0.4051318,-1.0648672,-0.111,-0.3018341,-0.7696633,0.03,-0.2035976,-0.1371727,-0.2777787,-0.318,-0.47388,-0.720753,-0.3215566,-0.3590249,-0.318
602,0.264792,-0.2607542,-0.1903312,-0.5150119,-0.264,-0.2591196,-0.6539622,-0.19,0.0452013,0.21111827,-0.0982489,-0.176,0.032954,-0.6960654,-0.1924405,-0.1961246,-0.1903312
603,-0.2377346,-0.5945672,-0.4995595,-1.4923388,-0.214,-0.3829056,-0.865901,-0.47,-0.3436988,-0.4194003,-0.4492553,-0.455,-0.6114,-0.7586107,-0.3617217,-0.5437396,-0.455
604,0.29043164,-0.1040457,0.00404042,-0.404933,0.099,-0.1993872,-0.5809629,0.12,0.31074137,0.37378553,0.01336195,-0.179,0.0038052,-0.5331408,0.06787968,-0.0478949,0.00404042
605,0.42994725,-0.0380001,0.01562029,-0.1236125,-0.102,-0.1628538,-0.5822527,0.06,0.37372432,0.5632364,0.06229626,-0.109,0.26188,-0.4289808,0.24689212,0.03112644,0.01562029
606,0.5131504,-0.2972734,-0.1853671,-0.7290217,-0.187,-0.2174211,-0.7018464,-0.04,0.03247017,0.16649233,-0.1536776,-0.182,0.10958,-0.57776,-0.0526637,-0.1668225,-0.182
607,0.05089006,-0.2709296,-0.1534559,-0.6005187,0.019,-0.3119103,-0.7017365,-0.09,-0.0355665,-0.0042049,-0.1521894,-0.195,-0.29623,-0.601464,-0.0491658,-0.2261654,-0.1534559
608,-0.2657102,-0.2854307,0.01933125,-1.5129975,-0.269,-0.2447647,-0.8630726,0.14,-0.1846826,0.02259144,-0.1502201,-0.209,-0.26898,-0.6264311,-0.0345976,-0.315531,-0.2447647
609,0.13087667,-0.1521153,-0.0225561,-0.8864555,-0.156,-0.2115897,-0.746083,0.33,0.15039527,0.29905942,-0.0749395,-0.227,-0.10075,-0.4846605,0.2829606,-0.1245905,-0.10075
610,-0.2537648,-0.3203379,-0.1015707,-1.5325222,-0.41,-0.2737598,-0.8284712,-0.43,-0.0661594,-0.1076036,-0.2604749,-0.276,-0.61655,-0.6289019,0.09447273,-0.4007762,-0.276
