age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
30,-0.5762902,-0.4707811,-0.6427669,-0.8927595,0.115,-0.4298704,-0.8562157,0.21,-0.217803,-0.2508515,-0.2279643,,-0.11503,-0.8280102,0.08317747,-0.3642975,-0.3403609
31,-0.3739284,-0.4483459,-0.5972257,-0.1001658,0.105,-0.4385311,-0.7548077,-0.46,-0.1274447,-0.2011802,-0.1639421,,-0.10286,-0.785404,0.10111023,-0.3105518,-0.2875543
32,0.15756552,-0.3318622,-0.2629152,-0.287235,0.088,-0.1739717,-0.608043,0.23,0.30966602,0.69572228,0.09481574,,0.19178,-0.9381952,0.10578005,-0.0520638,0.09140787
33,0.40443818,-0.2537916,-0.4225342,-0.5833606,0.162,-0.2481045,-0.5741707,-0.1,0.41422494,0.37457249,0.01211764,,-0.1041,-0.9384844,0.07797031,-0.1270873,-0.10205
34,0.35783901,-0.2650842,-0.1856714,0.21896426,0.159,-0.3178711,-0.4320229,0.14,0.57915362,0.38021251,0.08196901,,0.31884,-0.6994117,0.03899037,0.02677911,0.1109845
35,0.116287,-0.0746984,-0.1830668,0.31241499,0.04,-0.25344,-0.2850835,0.41,0.82860304,0.54162503,0.10208987,,0.8223,-0.8134302,-0.0139303,0.11069076,0.07104494
36,-0.5091764,-0.5129354,-0.44493,-0.5286221,0.207,-0.4833324,-0.5599247,0.42,0.01732668,-0.3450356,-0.3207421,,-0.36658,-0.7357151,-0.2854649,-0.3177237,-0.405755
37,-0.1712824,-0.1457265,-0.4133617,-0.7367922,0.028,-0.4026836,-0.5098112,-0.05,0.20487116,-0.077805,-0.2526622,,0.20154,-0.6522321,-0.2677672,-0.2318366,-0.2119723
38,-0.3737457,-0.2445188,-0.4289806,-0.8199741,-0.076,-0.3786453,-0.5310091,0.03,0.3191716,-0.0587705,-0.1969595,,-0.059381,-0.6835126,-0.0563249,-0.2541893,-0.2207392
39,-0.3057051,-0.1434895,-0.4986271,-0.3316184,-0.46,-0.4148408,-0.3936793,0.68,0.42277227,-0.1325581,-0.233979,,0.13693,-0.9094226,-0.1978217,-0.1987171,-0.2698421
40,-0.1715526,-0.3784107,-0.6317379,-1.5391859,-0.435,-0.3377554,-0.7086776,-0.32,0.18853653,-0.2199404,-0.3216615,,-0.3133,-0.9824319,-0.2154414,-0.4561828,-0.3297085
41,-0.1694851,-0.16687,-0.3850106,-0.7914715,0.01,-0.3149307,-0.6047004,-0.08,0.36785689,0.30126381,-0.0978774,,0.15591,-0.9293027,-0.1093775,-0.2009997,-0.1381238
42,0.01142281,-0.1120482,-0.377641,-0.9507423,-0.171,-0.3235315,-0.5573457,-0.09,0.41909682,0.2958515,-0.1358597,,0.37631,-1.0194463,-0.247901,-0.2059168,-0.1534299
43,-0.1497147,-0.0715133,-0.3305949,-1.2955432,-0.153,-0.2885447,-0.5704136,0.34,0.5408768,0.48969878,-0.0429814,,0.40922,-0.6593043,-0.2392032,-0.1443584,-0.1513573
44,-0.2863102,-0.1215184,-0.5551391,-1.3508222,0.022,-0.408922,-0.6541694,0.21,0.3500264,-0.2335637,-0.222541,,-0.16988,-0.7567671,-0.190242,-0.3119892,-0.2280523
45,-0.5263788,-0.1602467,-0.5938501,-1.5747767,-0.056,-0.4935486,-0.7244319,0.1,-0.003584,-0.344934,-0.3656634,,-0.74559,-0.8513248,-0.3009019,-0.4743736,-0.429606
46,-0.3910901,-0.2340309,-0.6183957,-1.778665,-0.213,-0.5075793,-0.644338,-0.66,0.17309331,-0.6362439,-0.3705562,,-0.91449,-0.821679,-0.1783956,-0.5568122,-0.5629875
47,-0.1864869,-0.2143024,-0.3902258,-1.3578635,-0.262,-0.3313415,-0.5660764,0.48,0.34760592,0.21435329,-0.1743772,,0.10056,-0.91914,-0.2434335,-0.2501949,-0.2288679
48,-0.2929405,-0.2856688,-0.5450121,-1.08406,-0.09,-0.3964724,-0.5533477,0.01,0.21756538,-0.0722813,-0.2583278,,-0.15641,-0.8675266,-0.1970501,-0.326538,-0.2719983
49,-0.2245842,-0.3601432,-0.3544516,-1.8080728,0.164,-0.3624056,-0.7283012,-0.12,-0.000405,-0.2252364,-0.2269703,,-0.81343,-0.938888,-0.095035,-0.4352802,-0.290711
50,-0.1227899,-0.2561344,-0.3891362,-1.2456917,-0.035,-0.3564704,-0.6393892,-0.04,0.26670848,0.01249599,-0.2136254,,-0.52281,-0.7334795,-0.0982743,-0.3123997,-0.2348799
51,-0.3096752,-0.2890856,-0.5104963,-1.7660323,-0.302,-0.3567271,-0.7794015,-0.06,0.14738002,-0.0171351,-0.2250271,,-0.54496,-0.9634686,-0.1760781,-0.4394791,-0.3058376
52,-0.0846166,-0.457146,-0.5198093,-1.2109462,-0.242,-0.4127548,-0.6661205,-0.23,0.06008942,-0.2803497,-0.3155785,,-0.56905,-1.0002709,-0.2340489,-0.4401859,-0.3641666
53,0.10086415,-0.3806436,-0.364502,-1.3457979,0.006,-0.2532799,-0.6679746,0.1,0.23287219,0.24984993,-0.1517318,,-0.16235,-1.0200478,-0.134932,-0.2708338,-0.1570409
54,-0.0428557,-0.2452257,-0.3557766,-0.760389,0.086,-0.3455658,-0.5845453,-0.3,0.3158134,0.31573458,-0.0568305,,-0.23844,-0.7700991,-0.1547749,-0.2240682,-0.2418329
55,0.21316331,-0.256548,-0.1685344,-0.9609747,-0.213,-0.2093095,-0.5512984,-0.15,0.57609032,0.67171917,0.1149533,,0.20255,-0.9284751,-0.0384189,-0.1212916,-0.1592672
56,-0.1297683,-0.582897,-0.5432282,-1.7571427,-0.308,-0.367228,-0.837351,-0.18,-0.2025595,-0.1375342,-0.303404,,-0.42407,-0.9417607,-0.2793105,-0.4995896,-0.337614
57,-0.2566579,-0.601679,-0.5791766,-1.4604893,-0.414,-0.4653979,-0.8269354,-0.37,-0.3566117,-0.5190004,-0.4790291,,-0.90557,-0.9070736,-0.4225883,-0.6117292,-0.4990147
58,-0.1653276,-0.663696,-0.6355379,-1.8113576,-0.423,-0.3557545,-0.750416,-0.07,-0.0809439,-0.2871126,-0.3989897,,-0.58517,-0.9264293,-0.3178173,-0.5336823,-0.4109949
59,-0.411544,-0.6320113,-0.6259825,-1.8047614,0.117,-0.4790146,-0.80487,-0.15,-0.4318928,-0.6221913,-0.5509266,,-0.93808,-0.8456834,-0.491495,-0.6193895,-0.5865589
60,-0.3652404,-0.5137124,-0.6654131,-1.1630731,0.298,-0.4620029,-0.6888543,0.14,0.0586749,-0.3726687,-0.3795821,,-0.46584,-0.972282,-0.3872758,-0.4242336,-0.4246394
